id,name,cat,subcat,tier,priority,lat,lon,yield_kt,burst,height_m,rationale,notes,sources
K09,Bradwell (Essex),K,Nuclear decommissioning,T3,138,51.7431,0.8958,100,ground,0,"Magnox decommissioning, Essex coast. Spent fuel in interim storage.",,NDA
K10,Trawsfynydd (N Wales),K,Nuclear decommissioning,T3,139,52.9236,-3.9467,100,ground,0,Magnox decommissioning. Proposed SMR candidate site. Radioactive inventory on site.,,NDA
K11,Chapelcross (Dumfriesshire),K,Nuclear decommissioning,T3,140,55.0167,-3.2361,100,ground,0,Former Magnox. Historically produced tritium for nuclear weapons. Decommissioning.,,NDA
K12,Dounreay (Caithness),K,Nuclear decommissioning,T3,141,58.5789,-3.7519,100,ground,0,Historic fast-reactor site. Significant radioactive inventory in decommissioning. Remote but significant.,,NDA
M09,Wylfa (Anglesey),M,Nuclear decom + major grid node,T3,142,53.4167,-4.4833,100,ground,0,Wylfa Magnox decommissioning and 400 kV super-grid substation. Future large-scale nuclear candidate site.,,"NDA, National Grid"
J10,Greenock / Clydeport,J,Clyde container port,T3,143,55.9533,-4.7667,100,air,500,Clydeport Greenock Ocean Terminal. Container and cruise. Clyde approaches.,,Peel Ports
C11,"Scottish Parliament, Holyrood",C,Devolved administration,T2,144,55.9522,-3.1758,300,air,2000,Scottish Parliament and government. Political decapitation of Scotland.,Covered by Edinburgh city strike (I12).,
C12,"Senedd / Senedd Cymru, Cardiff",C,Devolved administration,T2,145,51.4642,-3.1628,300,air,2000,Welsh Parliament and government. Political decapitation of Wales.,Covered by Cardiff city strike (I13).,
C13,"Stormont, Belfast",C,Devolved administration,T2,146,54.6042,-5.8344,300,air,2000,Northern Ireland Assembly and Executive. Political decapitation of Northern Ireland.,Covered by Belfast city strike (I14).,
I01,London — City / East,I,Financial + Docklands,T3,147,51.5144,-0.0919,800,air,2000,"City of London financial district, Bank of England, Docklands data centres. GZ 1 of 3 for London.",Multi-GZ pattern with I02 and I03.,ONS
I02,London — Westminster / Whitehall,I,Government centre,T3,148,51.5007,-0.1246,800,air,2000,"Parliament, Whitehall, Downing St, MoD, PINDAR, MI5, MI6. GZ 2 of 3 for London. Decapitates UK government.","Covers C01, C08, C09.",ONS
I03,London — West / Slough corridor,I,Industry + data centre cluster,T3,149,51.47,-0.38,800,air,2000,West London industrial + transport + Slough data centre cluster. GZ 3 of 3 for London.,Covers O01 (Slough DCs) and Heathrow (P01) on periphery.,ONS
I04,Birmingham,I,2nd largest city,T3,150,52.4862,-1.8904,300,air,2000,2nd largest UK city (~1.15M). Midlands industrial and commercial heartland.,,ONS
I05,Manchester,I,NW England regional capital,T3,151,53.4808,-2.2426,300,air,2000,"Greater Manchester ~2.9M. NW England economic hub. Major logistics, tech and media centre.",,ONS
I06,Glasgow,I,Scotland's largest city,T3,152,55.8642,-4.2518,300,air,2000,Greater Glasgow ~1.85M. Scotland's largest urban area. Naval shipbuilding on the Clyde.,Covers H03/H04 Govan/Scotstoun shipyards.,ONS
I07,Liverpool,I,NW England port city,T3,153,53.4084,-2.9916,300,air,2000,Merseyside ~1.4M. Major Atlantic port and container terminal. Regional industrial hub.,,ONS
I08,Leeds,I,Yorkshire financial centre,T3,154,53.8008,-1.5491,300,air,2000,"West Yorkshire financial and commercial centre. ~800k city, ~1.8M metro.",,ONS
I09,Sheffield,I,Steel and engineering,T3,155,53.3811,-1.4701,300,air,2000,Historic steel and engineering city. Advanced manufacturing cluster. Pop ~580k.,,ONS
I10,Bristol,I,SW England aerospace,T3,156,51.4545,-2.5879,300,air,2000,"Aerospace industry (Airbus Filton, GKN). Port of Bristol. Pop ~470k.",,ONS
I11,Newcastle upon Tyne,I,NE England regional capital,T3,157,54.9783,-1.6178,300,air,2000,Tyneside conurbation ~780k. NE regional capital.,,ONS
I12,Edinburgh,I,Scottish capital,T3,158,55.9533,-3.1883,300,air,2000,Scotland's capital. Financial services hub. ~510k city. Scottish Parliament (C12) nearby.,Covers C12 Holyrood and H08 Leonardo.,ONS
I13,Cardiff,I,Welsh capital,T3,159,51.4816,-3.1791,300,air,2000,Capital of Wales. Administrative and commercial centre. ~365k city.,Covers C13 Senedd.,ONS
I14,Belfast,I,NI capital,T3,160,54.5973,-5.9301,300,air,2000,"Capital of Northern Ireland. Aerospace industry (Spirit Aero, former Short Brothers). ~345k.",Covers C14 Stormont.,ONS
I15,Nottingham,I,East Midlands,T3,161,52.9548,-1.1581,300,air,2000,East Midlands regional centre. ~330k city. Pharmaceutical manufacturing.,,ONS
I16,Southampton,I,S coast port city,T3,162,50.9097,-1.4044,300,air,2000,"South coast port — container, cruise and ro-ro. Pop ~270k. Adjacent Fawley refinery.",Overlap with J01/L01.,ONS
I17,Portsmouth,I,RN city,T3,163,50.8198,-1.088,300,air,2000,Royal Navy HQ city. Pop ~215k. Probably covered by HMNB Portsmouth strike.,Overlap E01/C05.,ONS
I18,Plymouth,I,SW naval city,T3,164,50.3755,-4.1427,300,air,2000,UK's largest naval city. Pop ~264k. Largely covered by HMNB Devonport strike.,Overlap A05.,ONS
I19,Leicester,I,East Midlands,T3,165,52.6369,-1.1398,300,air,2000,East Midlands manufacturing and commercial city. Pop ~370k.,,ONS
I20,Coventry,I,Midlands engineering,T3,166,52.4068,-1.5197,300,air,2000,West Midlands automotive and engineering. Pop ~345k. Rebuilt after WWII blitz.,,ONS
I21,Stoke-on-Trent,I,Midlands industrial,T3,167,53.0027,-2.1794,300,air,2000,Midlands industrial city. Pop ~260k.,,ONS
I22,Wolverhampton,I,West Midlands,T3,168,52.5862,-2.1282,300,air,2000,West Midlands industrial city. Pop ~260k. Engineering and manufacturing.,,ONS
I23,Derby,I,Aerospace + rail engineering,T3,169,52.9225,-1.4746,300,air,2000,"Rolls-Royce HQ, Toyota, Bombardier trains. Pop ~260k. Overlap with A07 Raynesway.","Overlap A07, H15.",ONS
I24,Reading,I,Thames Valley tech hub,T3,170,51.4543,-0.9781,300,air,2000,Thames Valley tech corridor HQ cluster. Pop ~320k. 10 miles from AWE Aldermaston.,,ONS
I25,Milton Keynes,I,New city,T3,171,52.0406,-0.7594,300,air,2000,"New city, logistics hub. Pop ~290k. Strategic road junction (M1/A5).",,ONS
I26,Cambridge,I,Science and tech cluster,T3,172,52.2053,0.1218,300,air,2000,"Cambridge science and biotech cluster. ARM Holdings, AstraZeneca, Mott MacDonald. Pop ~145k.",,ONS
I27,Oxford,I,Academic and tech,T3,173,51.752,-1.2577,300,air,2000,University and tech cluster. BMW MINI plant. Pop ~160k.,,ONS
I28,Swansea,I,South Wales,T3,174,51.6214,-3.9436,300,air,2000,South Wales industrial and port city. Pop ~240k.,,ONS
I29,Aberdeen,I,North Sea oil capital,T3,175,57.1497,-2.0943,300,air,2000,North Sea oil and gas industry hub. Port and logistics. Pop ~200k.,,ONS
I30,Dundee,I,East Scotland,T3,176,56.462,-2.9707,300,air,2000,"Scottish east coast city. Tech sector (video games — Rockstar/DC Thompson), biomedical. Pop ~150k.",,ONS
I31,Kingston upon Hull,I,E Yorkshire port,T3,177,53.7456,-0.3367,300,air,2000,Humber estuary port city. Siemens wind turbine manufacture. Pop ~260k.,,ONS
I32,Middlesbrough / Teesside,I,Industrial NE,T3,178,54.5742,-1.2349,300,air,2000,"Teesside industrial conurbation. Steel, chemicals, Wilton industrial complex. ~300k area.",,ONS
I33,Sunderland,I,NE England,T3,179,54.9069,-1.3833,300,air,2000,NE port city. Nissan UK car plant — largest single car factory in UK. Pop ~275k.,,ONS
I34,Preston,I,Lancashire,T3,180,53.7632,-2.7031,300,air,2000,Lancashire city. Near BAE Warton (H01) and Samlesbury (H02). Pop ~140k.,,ONS
I35,Brighton and Hove,I,South coast,T3,181,50.8225,-0.1372,300,air,2000,"South coast. ~280k. University city, secondary commuter city for London.",,ONS
I36,Bournemouth / Poole,I,South coast conurbation,T3,182,50.7192,-1.8808,300,air,2000,South coast conurbation ~470k including Christchurch. SBS HQ at Poole (C11).,Overlap C11 Poole SBS.,ONS
I37,Norwich,I,East Anglia,T3,183,52.6309,1.2974,300,air,2000,East Anglia regional centre. ~145k. Insurance/financial sector.,,ONS
I38,York,I,Yorkshire,T3,184,53.96,-1.0873,300,air,2000,"North Yorkshire. ~210k. Railway engineering (National Railway Museum, train maintenance).",,ONS
I39,Peterborough,I,East,T3,185,52.5695,-0.2405,300,air,2000,Eastern England logistics hub. ~215k. A1/East Coast Main Line junction.,,ONS
P01,London Heathrow (LHR),P,Primary UK hub airport,T3,186,51.47,-0.4543,100,air,500,UK's primary international hub. ~80M pax/year. Strategic airlift capability. Jet fuel depot.,Partly covered by London GZ 3 (I03).,Heathrow
P02,London Gatwick (LGW),P,Secondary London hub,T3,187,51.1537,-0.1821,100,air,500,2nd London airport. ~45M pax. Backup international routing.,,Gatwick
P03,East Midlands Airport (EMA),P,DHL/UPS cargo hub,T3,188,52.8311,-1.3281,100,air,500,"UK's largest pure-cargo airport (DHL, UPS, Royal Mail). Strategic logistics vulnerability.",,EMA
P04,Manchester Airport (MAN),P,N England hub,T3,189,53.3537,-2.275,300,air,2000,Primary airport for N England and Scotland. ~28M pax. Adjacent to Manchester.,Covered by Manchester city strike (I05).,MAG
P05,Prestwick Airport (PIK),P,NATO diversion + USAF transit,T3,190,55.5094,-4.5867,100,air,500,NATO designated diversion airfield. USAF transatlantic transit hub. Historically: Cold War strategic use.,,Prestwick Airport
P06,Edinburgh Airport (EDI),P,Scotland hub,T3,191,55.95,-3.3725,300,air,2000,Busiest Scottish airport. Adjacent to Edinburgh city.,Covered by Edinburgh city strike (I12).,Edinburgh Airport
P07,Belfast International / Aldergrove (BFS),P,NI airport + military,T3,192,54.6575,-6.2158,100,air,500,"Belfast International. Former RAF Aldergrove, 5 Regiment Army Air Corps present. Military-civil dual use.",,Belfast Airport
P08,London Stansted (STN),P,London NE airport + cargo,T3,193,51.885,0.235,100,air,500,Low-cost hub and freight. Amazon Air UK hub.,,Stansted
